Latitude,Longitude,Window
-29.325,-6.425,1.0
-29.275,-6.375,1.0
-26.625,-11.725,1.0
-23.225,37.325,1.0
-20.475,35.525,1.0
-20.475,35.575,1.0
-18.325,31.325,1.0
-15.675,-0.525,1.0
-15.275,11.875,1.0
-15.075,11.375,1.0
-14.325,38.375,1.0
-13.675,-8.575,4.0
-13.375,7.625,1.0
-13.075,-10.325,1.0
-10.125,-9.975,1.0
-8.825,41.575,1.0
-8.625,44.825,1.0
-7.725,1.875,1.0
-7.375,-18.275,1.0
-3.625,-5.975,2.0
-3.275,-12.025,1.0
-2.975,-1.925,1.0
-2.825,-2.925,1.0
-2.525,22.125,1.0
-2.525,22.175,1.0
-2.475,22.125,1.0
-2.475,22.175,1.0
-2.425,-1.675,1.0
-2.425,22.175,1.0
-2.425,22.225,3.0
-2.425,22.275,4.0
-2.375,21.925,1.0
-2.375,22.125,1.0
-2.375,22.175,1.0
-2.375,22.225,4.0
-2.375,22.275,4.0
-2.325,22.175,4.0
-2.325,22.225,4.0
-2.275,21.925,1.0
-2.275,21.975,1.0
-2.275,22.175,4.0
-2.275,22.225,4.0
-2.275,22.275,4.0
-2.225,21.875,1.0
-2.225,21.925,1.0
-2.225,21.975,1.0
-2.225,22.025,2.0
-2.225,22.075,2.0
-2.225,22.125,2.0
-2.225,22.275,4.0
-2.175,21.875,1.0
-2.175,21.925,1.0
-2.175,21.975,1.0
-2.175,22.025,1.0
-2.175,22.075,1.0
-2.175,22.125,2.0
-2.175,22.175,2.0
-2.175,22.225,4.0
-2.175,22.275,4.0
-2.125,21.875,1.0
-2.125,21.925,1.0
-2.125,21.975,1.0
-2.125,22.025,1.0
-2.125,22.075,2.0
-2.125,22.125,2.0
-2.125,22.175,2.0
-2.125,22.225,3.0
-2.125,22.275,4.0
-2.075,21.925,1.0
-2.075,21.975,1.0
-2.075,22.025,1.0
-2.075,22.075,2.0
-2.075,22.125,2.0
-2.075,22.175,2.0
-2.075,22.225,4.0
-2.075,22.275,4.0
-2.075,22.325,4.0
-2.025,21.925,1.0
-2.025,21.975,2.0
-2.025,22.025,2.0
-2.025,22.075,2.0
-2.025,22.125,2.0
-2.025,22.175,3.0
-2.025,22.225,3.0
-2.025,22.275,4.0
-2.025,22.325,4.0
-1.975,21.975,3.0
-1.975,22.075,2.0
-1.975,22.125,3.0
-1.975,22.175,3.0
-1.975,22.225,3.0
-1.975,22.275,4.0
-1.975,22.325,4.0
-1.925,22.075,3.0
-1.925,22.125,3.0
-1.925,22.175,3.0
-1.925,22.225,3.0
-1.925,22.275,4.0
-1.875,22.125,4.0
-1.875,22.175,4.0
-1.875,22.225,4.0
-1.875,22.275,4.0
-1.825,22.175,4.0
-1.275,21.775,4.0
-1.225,21.575,2.0
-1.225,21.675,4.0
-1.225,21.725,4.0
-1.225,21.825,4.0
-1.175,21.275,3.0
-1.175,21.575,3.0
-1.175,21.625,4.0
-1.175,21.675,2.0
-1.175,21.725,2.0
-1.125,21.525,1.0
-1.125,21.575,1.0
-1.125,21.625,4.0
-1.125,21.675,2.0
-1.125,21.725,2.0
-1.075,21.325,3.0
-1.075,21.425,3.0
-1.075,21.525,1.0
-1.075,21.575,1.0
-1.025,21.525,1.0
-1.025,21.575,1.0
-1.025,21.625,1.0
-0.975,21.225,1.0
-0.925,21.375,2.0
-0.925,33.075,2.0
-0.925,33.125,2.0
-0.775,21.775,4.0
-0.775,21.925,4.0
-0.725,21.525,2.0
-0.725,21.625,2.0
-0.725,21.725,2.0
-0.725,21.775,4.0
-0.725,21.825,4.0
-0.725,21.875,4.0
-0.725,21.975,4.0
-0.675,21.625,3.0
-0.675,21.675,2.0
-0.675,21.725,3.0
-0.675,21.775,4.0
-0.675,21.825,4.0
-0.675,21.875,4.0
-0.675,21.925,4.0
-0.625,21.625,1.0
-0.625,21.675,2.0
-0.625,21.725,2.0
-0.625,21.775,2.0
-0.625,21.825,4.0
-0.625,21.875,4.0
-0.625,21.925,4.0
-0.575,20.925,1.0
-0.575,21.225,2.0
-0.575,21.675,2.0
-0.575,21.725,2.0
-0.575,21.775,2.0
-0.575,21.825,3.0
-0.575,21.875,4.0
-0.575,21.925,4.0
-0.575,21.975,4.0
-0.575,22.425,4.0
-0.525,20.925,1.0
-0.525,20.975,1.0
-0.525,21.025,1.0
